City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la'ie,21.6477,-157.9253,26.14,62,63,2.68,US,1703899561
1,puerto ayora,-0.7393,-90.3518,24.75,95,74,2.68,EC,1703899561
2,blackmans bay,-43.0167,147.3167,15.41,53,89,0.89,AU,1703899561
3,ushuaia,-54.8,-68.3,8.81,87,40,1.03,AR,1703899562
4,fort irwin,35.2627,-116.6848,13.74,30,0,2.57,US,1703899294
5,papatowai,-46.5619,169.4708,15.78,53,66,3.96,NZ,1703899563
6,korla,41.7597,86.1469,-5.22,69,100,3.03,CN,1703899563
7,huarmey,-10.0681,-78.1522,22.61,82,100,3.32,PE,1703899564
8,coari,-4.085,-63.1414,24.16,98,100,1.26,BR,1703899565
9,mount isa,-20.7333,139.5,39.87,31,0,7.2,AU,1703899565
10,hadibu,12.65,54.0333,23.59,77,66,3.78,YE,1703899566
11,yellowknife,62.456,-114.3525,-9.71,100,75,2.57,CA,1703899450
12,camana,-16.6228,-72.7111,21.44,88,97,2.53,PE,1703899567
13,yamada,39.4667,141.95,6.59,62,16,2.39,JP,1703899567
14,utrik,11.2278,169.8474,27.25,82,56,9.1,MH,1703899568
15,udachny,66.4167,112.4,-26.42,82,100,3.16,RU,1703899568
16,adamstown,-25.066,-130.1015,22.81,76,99,7.88,PN,1703899569
17,puerto natales,-51.7236,-72.4875,10.34,82,100,2.94,CL,1703899569
18,wailua homesteads,22.0669,-159.378,26.24,78,6,0.89,US,1703899569
19,lihue,21.9789,-159.3672,26.58,70,3,2.71,US,1703899570
20,avarua,-21.2078,-159.775,29.03,65,100,7.2,CK,1703899570
21,maridi,4.9158,29.4742,22.75,36,1,1.96,SS,1703899571
22,grytviken,-54.2811,-36.5092,0.14,77,77,2.87,GS,1703899571
23,port blair,11.6667,92.75,24.02,94,40,1.03,IN,1703899572
24,touros,-5.1989,-35.4608,26.24,77,100,4.7,BR,1703899572
25,sabha,27.0377,14.4283,11.06,50,48,4.05,LY,1703899573
26,invercargill,-46.4,168.35,16.68,68,43,5.81,NZ,1703899573
27,newman,37.3138,-121.0208,18.49,69,91,3.58,US,1703899574
28,jinchang,38.4953,102.1739,-2.29,32,5,1.74,CN,1703899574
29,bei'an,24.5399,109.533,18.36,64,81,0.92,CN,1703899575
30,el calafate,-50.3408,-72.2768,13.62,61,100,4.68,AR,1703899575
31,haiku-pauwela,20.9219,-156.3051,23.98,71,40,8.23,US,1703899576
32,port hedland,-20.3167,118.5667,39.03,22,0,3.6,AU,1703899576
33,fale old settlement,-9.3852,-171.2468,29.39,70,100,7.39,TK,1703899577
34,tiksi,71.6872,128.8694,-35.5,99,69,4.4,RU,1703899577
35,port-aux-francais,-49.35,70.2167,5.38,80,100,14.88,TF,1703899578
36,kingston,17.997,-76.7936,27.53,83,40,1.03,JM,1703898984
37,yuzawa,39.1667,140.5,3.61,98,100,0.43,JP,1703899579
38,tiruchchendur,8.4833,78.1167,26.16,85,88,8.87,IN,1703899579
39,longyearbyen,78.2186,15.6401,0.91,69,75,8.23,SJ,1703899580
40,melouza,35.98,4.1867,9.22,57,100,1.53,DZ,1703899580
41,ribeira grande,38.5167,-28.7,16.22,67,40,5.14,PT,1703899581
42,thompson,55.7435,-97.8558,-7.91,93,100,2.06,CA,1703899581
43,valparaiso,-33.0393,-71.6273,16.8,88,100,4.12,CL,1703899581
44,waitangi,-43.9535,-176.5597,18.79,94,100,4.47,NZ,1703899582
45,edinburgh of the seven seas,-37.0676,-12.3116,17.6,98,100,4.24,SH,1703899522
46,iqaluit,63.7506,-68.5145,-9.15,85,100,5.66,CA,1703899583
47,kerikeri,-35.2268,173.9474,26.49,55,5,4.26,NZ,1703899584
48,sao joao da barra,-21.6403,-41.0511,24.82,93,82,5.81,BR,1703899569
49,bredasdorp,-34.5322,20.0403,20.81,90,100,5.16,ZA,1703899585
50,pagar alam,-4.0167,103.2667,23.64,90,87,0.72,ID,1703899585
51,hermanus,-34.4187,19.2345,21,83,100,5.22,ZA,1703899585
52,tommot,58.9564,126.2925,-39.43,99,87,0.62,RU,1703899586
53,vorgashor,67.5833,63.95,-17.99,91,7,7.46,RU,1703899587
54,albany,42.6001,-73.9662,6.44,92,100,3.09,US,1703898997
55,new norfolk,-42.7826,147.0587,16.07,54,71,5.15,AU,1703899587
56,vallegrande,-18.4897,-64.1069,16.47,88,100,0.94,BO,1703899588
57,lebu,-37.6167,-73.65,13.4,84,0,6.02,CL,1703899588
58,whitehorse,60.7161,-135.0538,-10.57,85,75,1.03,CA,1703899589
59,bethel,41.3712,-73.414,9.05,80,100,2.57,US,1703899589
60,anadyr,64.75,177.4833,-20.56,83,20,7,RU,1703899590
61,arraial do cabo,-22.9661,-42.0278,25.21,88,100,8.46,BR,1703899454
62,aasiaat,68.7098,-52.8699,-25.31,93,92,5.19,GL,1703899591
63,yanam,16.7333,82.2167,21.85,80,86,1.89,IN,1703899591
64,margaret river,-33.95,115.0667,20.97,64,73,4.04,AU,1703899592
65,ilulissat,69.2167,-51.1,-13.99,51,100,6.17,GL,1703899592
66,floro,61.5996,5.0328,5.54,93,100,1.54,NO,1703899593
67,realico,-35.0366,-64.2447,19.43,50,0,3.44,AR,1703899593
68,peschanokopskoye,46.1961,41.0775,4.73,91,5,3.7,RU,1703899594
69,port elizabeth,-33.918,25.5701,19.62,85,0,3.09,ZA,1703899594
70,sfizef,35.2346,-0.2444,8.72,41,100,2.18,DZ,1703899595
71,tahara,34.6667,137.2667,10.02,57,0,4.85,JP,1703899596
72,lerwick,60.1545,-1.1494,5,77,100,13.12,GB,1703899596
73,port isabel,26.0734,-97.2086,14.45,76,0,0,US,1703899597
74,kasungu,-13.0333,33.4833,19.77,83,100,1.17,MW,1703899597
75,nar'yan-mar,67.6713,53.087,-16.05,97,100,4.02,RU,1703899598
76,college,64.8569,-147.8028,-32.82,70,20,0,US,1703899598
77,qaisumah,28.3112,46.1273,13.98,94,75,3.09,SA,1703899599
78,carbonear,47.7332,-53.2148,-0.42,95,100,9.28,CA,1703899599
79,tiznit,29.5833,-9.5,13.01,20,35,0.63,MA,1703899600
80,cabo san lucas,22.8909,-109.9124,23.17,60,20,2.06,MX,1703899007
81,east london,-33.0153,27.9116,21.14,83,100,6.82,ZA,1703899601
82,guozhen,34.3659,107.359,6.46,55,0,1.43,CN,1703899601
83,nemuro,43.3236,145.575,0.14,74,12,6.64,JP,1703899602
84,shirgaon,19.7,72.7,22.43,60,0,1.94,IN,1703899602
85,port saint john's,-31.6229,29.5448,20.06,85,100,5.04,ZA,1703899603
86,hithadhoo,-0.6,73.0833,26.55,83,100,1.53,MV,1703899603
87,nuevo arraijan,8.9167,-79.7167,26.2,90,75,2.06,PA,1703899604
88,rodolfo sanchez taboada,31.7167,-116.5667,15.61,76,100,0.45,MX,1703899604
89,effium,6.6292,8.0593,23.71,34,18,2.49,NG,1703899605
90,weno,7.4515,151.8468,30.97,74,75,0,FM,1703899605
91,kone,-21.0595,164.8658,30.7,53,70,1.55,NC,1703899606
92,manokwari,-0.8667,134.0833,28.1,77,23,1.31,ID,1703899390
93,awjilah,29.1081,21.2869,13.49,67,73,2.34,LY,1703899607
94,ust-nera,64.5667,143.2,-43.61,98,89,1.69,RU,1703899607
95,sao vicente,-23.9631,-46.3919,34.1,42,100,1.34,BR,1703899608
96,greenville,35.6127,-77.3663,8.01,64,0,3.6,US,1703899609
97,abepura,-2.6333,140.5833,29.45,70,20,2.57,ID,1703899609
98,kolda,12.8833,-14.95,23.73,15,0,2.72,SN,1703899610
99,katsuren-haebaru,26.3369,127.8719,24.01,88,75,6.69,JP,1703899610
100,georgetown,5.4112,100.3354,27.75,85,20,1.54,MY,1703899611
101,sitka,57.0531,-135.33,10.94,62,100,10.29,US,1703899611
102,san antonio de pale,-1.4014,5.6325,27.28,79,83,3.9,GQ,1703899612
103,buzuluk,52.7807,52.2635,-5.02,97,99,1.79,RU,1703899613
104,tolanaro,-25.0319,46.9987,25.04,88,75,7.2,MG,1703899614
105,bayanhongor,46.7167,100.1167,-20.88,67,17,1.79,MN,1703899615
106,keflavik,64.0049,-22.5624,-2.76,74,75,3.6,IS,1703899560
107,mahdia,35.5047,11.0622,12.97,86,40,3.39,TN,1703899617
108,ambodifotatra,-16.9833,49.85,26.85,81,100,5.14,MG,1703899618
109,la passe,45.5549,-0.8967,6.13,93,88,3.25,FR,1703899619
110,olonkinbyen,70.9221,-8.7187,-8.58,75,100,8.84,SJ,1703899619
111,west island,-12.1568,96.8225,25.99,94,75,5.14,CC,1703899620
112,stroitel',50.7854,36.4831,1.9,92,100,4,RU,1703899620
113,port mathurin,-19.6833,63.4167,27.15,77,100,2.6,MU,1703899621
114,pecangaan,-6.6978,110.7107,27.92,75,80,2.25,ID,1703899621
115,jamestown,42.097,-79.2353,2.77,84,20,2.57,US,1703899622
116,hobyo,5.3505,48.5268,25.42,77,87,7.33,SO,1703899623
117,dudinka,69.4058,86.1778,-22.4,90,100,2.24,RU,1703899623
118,kodiak,57.79,-152.4072,-6.27,79,0,2.57,US,1703899624
119,paracuru,-3.41,-39.0306,28.39,82,90,4.25,BR,1703899624
120,yermentau,51.6214,73.1069,-7.26,84,100,12.8,KZ,1703899625
121,lompoc,34.6391,-120.4579,16.67,68,75,2.68,US,1703899626
122,point pedro,9.8167,80.2333,25.79,83,26,5.92,LK,1703899626
123,lamu,-2.2717,40.902,26.12,89,33,4.15,KE,1703899627
124,adre,13.4667,22.2,16.09,23,3,4.15,TD,1703899627
125,correntina,-13.3433,-44.6367,25.01,69,100,1.13,BR,1703899628
126,birjand,32.8663,59.2211,0.26,80,0,3.09,IR,1703899628
127,inhambane,-23.865,35.3833,24.65,87,100,7.88,MZ,1703899629
128,chonchi,-42.6128,-73.8092,16.56,77,0,1.78,CL,1703899629
129,kismayo,-0.3582,42.5454,27.21,86,100,6.73,SO,1703899630
130,shingu,33.7333,135.9833,11.73,41,0,0.38,JP,1703899631
131,punta arenas,-53.15,-70.9167,11.06,76,100,7.2,CL,1703899631
132,fuglafjordur,62.244,-6.814,1.26,75,100,8.35,FO,1703899632
133,prince rupert,54.3161,-130.3201,12.05,75,100,9.77,CA,1703899632
134,playa blanca,28.8643,-13.8281,15.11,47,18,2.35,ES,1703899633
135,condeixa-a-nova,40.1157,-8.4983,13.89,72,100,0.86,PT,1703899633
136,ahraura,25.0167,83.0167,12.48,70,9,1.18,IN,1703899634
137,tamanrasset,22.785,5.5228,9.95,29,0,2.57,DZ,1703899634
138,zilair,52.2332,57.4392,-7.05,95,100,5,RU,1703899635
139,patterson,37.4716,-121.1297,17.86,69,60,5.13,US,1703899635
140,kananga,-5.8958,22.4178,20.87,98,100,1.33,CD,1703899636
141,hancheng,32.5186,112.3522,6.74,83,0,2.84,CN,1703899636
142,stanley,54.868,-1.6985,1.82,93,0,2.57,GB,1703899637
143,tailai,46.3833,123.4,-14.55,85,100,4.94,CN,1703899637
144,alta,69.9689,23.2717,-10.41,80,20,12.96,NO,1703899341
145,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1703899638
146,ketchikan,55.3422,-131.6461,11.99,82,100,5.14,US,1703899639
147,santiago,-33.4569,-70.6483,24.05,52,0,3.6,CL,1703899369
148,kayes,14,-11,24.6,12,0,2.87,ML,1703899640
149,bhinmal,25,72.25,16.77,52,0,1.65,IN,1703899640
150,las heras,-46.5419,-68.9359,20.09,24,19,2.75,AR,1703899641
151,saipan,15.1355,145.701,29.39,70,40,8.23,MP,1703899641
152,mankera,31.3866,71.4407,13.36,38,97,2.15,PK,1703899642
153,dubno,50.4169,25.7343,6.18,85,100,6,UA,1703899642
154,taoudenni,22.6783,-3.9836,15.77,25,16,4.17,ML,1703899643
155,porto novo,6.4965,2.6036,27.9,84,3,2.4,BJ,1703899643
156,grafton,42.207,-71.6856,7.31,96,75,3.6,US,1703899644
157,tura,25.5198,90.2201,14.78,79,0,1.55,IN,1703899644
158,bay roberts,47.5999,-53.2648,-0.48,96,100,5.81,CA,1703899645
159,okakarara,-20.5833,17.4333,18.2,36,5,3.05,NA,1703899645
160,tulun,54.5611,100.5792,-9.5,96,100,2.55,RU,1703899646
161,kruisfontein,-34.0033,24.7314,21.39,71,91,1.57,ZA,1703899646
162,kashmar,35.2383,58.4656,2.9,79,0,2.14,IR,1703899647
163,port moresby,-9.4431,147.1797,31.68,66,40,2.57,PG,1703899560
164,smithers,54.7804,-127.1743,3.18,93,100,2.06,CA,1703899648
165,san francisco,37.7749,-122.4194,14.99,92,100,3.58,US,1703898852
166,machina,13.1364,10.0492,17.33,25,0,4.24,NG,1703899649
167,colonia,50.9333,6.95,10.03,78,75,5.14,DE,1703899649
168,male,4.1748,73.5089,26.97,89,100,6.69,MV,1703899649
169,swakopmund,-22.6833,14.5333,16.1,84,0,0.92,NA,1703899650
170,yuzhno-kurilsk,44.0306,145.8556,-0.35,72,100,4.65,RU,1703899650
171,rabo de peixe,37.8,-25.5833,15.73,63,40,4.12,PT,1703899651
172,badger,64.8,-147.5333,-32.86,73,0,0,US,1703899652
173,tsengel,49.4783,100.8894,-19.8,91,64,2.31,MN,1703899652
174,duncan,34.5023,-97.9578,8.12,57,0,2.57,US,1703899627
175,howrah,22.5892,88.3103,17,88,20,2.06,IN,1703899653
176,shiqian,27.5225,108.2281,9.54,91,24,0.73,CN,1703899654
177,piacabucu,-10.4056,-36.4344,25.2,80,0,3.29,BR,1703899654
178,maputo,-25.9653,32.5892,19.82,88,20,2.57,MZ,1703899655
179,pozoblanco,38.3791,-4.8483,5.13,69,56,0.15,ES,1703899655
180,santa terezinha,-29.9002,-50.0904,21,88,73,4.25,BR,1703899656
181,merke,42.8728,73.1786,-4.64,92,84,2.36,KZ,1703899656
182,tandalti,13.0167,31.8667,17.86,26,0,4.27,SD,1703899656
183,yarmouth,41.7057,-70.2286,8.34,98,100,2.06,US,1703899640
184,puerto deseado,-47.7503,-65.8938,10.81,61,98,1.44,AR,1703899657
185,hawaiian paradise park,19.5933,-154.9731,23.26,89,100,1.54,US,1703899658
186,cumana,10.4635,-64.1775,25.9,88,9,4.4,VE,1703899658
187,narrabri,-30.3167,149.7833,31.4,48,0,0.45,AU,1703899659
188,linqiong,30.4159,103.4609,3.9,73,0,1.14,CN,1703899660
189,nishinoomote,30.7333,131,15.31,77,75,1.03,JP,1703899660
190,puerto baquerizo moreno,-0.9,-89.6,24.15,87,77,3.03,EC,1703899661
191,flekkefjord,58.2971,6.6607,3.93,92,100,3.85,NO,1703899661
192,al wajh,26.2455,36.4525,18.97,45,0,2.57,SA,1703899662
193,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,85,75,6.26,RU,1703899662
194,jucas,-6.5253,-39.5275,29.34,41,99,0.71,BR,1703899662
195,kindu,-2.95,25.95,21.36,98,100,1.29,CD,1703899663
196,nova sintra,14.8667,-24.7167,22.49,74,97,8.02,CV,1703899663
197,isafjordur,66.0755,-23.124,-9.06,83,38,1.22,IS,1703899664
198,tissemsilt,35.6072,1.8108,6.76,49,100,1.63,DZ,1703899664
199,port alfred,-33.5906,26.891,21.59,86,100,5.49,ZA,1703899665
200,goshen,41.5823,-85.8344,4.71,93,100,3.73,US,1703899665
201,lepsy,46.235,78.9456,-1.23,72,96,7.09,KZ,1703899666
202,argo,37.6333,22.7333,9.32,76,64,1.31,GR,1703899666
203,aitape,-3.1374,142.3475,29.35,74,68,1.85,PG,1703899399
204,codrington,-38.2667,141.9667,16.4,59,81,7.24,AU,1703899668
205,pucon,-39.2822,-71.9543,17.01,68,1,1.2,CL,1703899668
206,rongelap,11.1635,166.8941,27.66,81,95,6.57,MH,1703899669
207,kot addu,30.4692,70.9671,11.82,41,99,1.82,PK,1703899669
208,pisco,-13.7,-76.2167,22.03,88,0,7.72,PE,1703899460
209,banda aceh,5.5577,95.3222,26.1,85,100,4.67,ID,1703899670
210,enewetak,11.3474,162.3373,27.64,82,97,6.68,MH,1703899670
211,christchurch,-43.5333,172.6333,29.07,30,0,8.23,NZ,1703899671
212,puerto santa,-8.9906,-78.6456,22.12,83,100,2.63,PE,1703899671
213,bafra,41.5678,35.9069,9.56,53,7,2.64,TR,1703899630
214,ghanzi,-21.5667,21.7833,21.08,73,48,7.33,BW,1703899672
215,hamilton,39.1834,-84.5333,3.11,87,100,3.13,US,1703899673
216,veraval,20.9,70.3667,21.96,55,5,2.4,IN,1703899673
217,sakakah,29.9697,40.2064,11.76,83,100,3.72,SA,1703899674
218,cooper's town,26.8667,-77.5167,20.3,65,100,6.31,BS,1703899674
219,umm kaddadah,13.6017,26.6876,14.46,39,11,5.28,SD,1703899675
220,praia da vitoria,38.7333,-27.0667,14.31,94,20,3.42,PT,1703899675
221,campbell river,50.0163,-125.2446,9.22,100,100,2.06,CA,1703899432
222,pskov,57.8136,28.3496,1.95,100,100,3.13,RU,1703899677
223,teodoro sampaio,-22.5325,-52.1675,27.96,61,100,3.58,BR,1703899677
224,cuajinicuilapa,16.4667,-98.4167,23.39,79,0,1.09,MX,1703899678
225,timbiqui,2.7717,-77.6654,24.35,94,88,0.67,CO,1703899679
226,tomatlan,19.9333,-105.25,19.93,72,76,0.79,MX,1703899680
227,buka,40.8108,69.1986,-0.65,80,9,1.14,UZ,1703899681
228,elliot lake,46.3834,-82.6331,-2.24,75,7,2.82,CA,1703899682
229,thunder bay,48.4001,-89.3168,-3.05,93,0,1.03,CA,1703899504
230,sao gabriel da cachoeira,-0.1303,-67.0892,23.63,96,100,0.22,BR,1703899683
231,afaahiti,-17.75,-149.2833,29.93,77,99,2.93,PF,1703899683
232,kovalam,8.3667,76.9967,29.05,65,40,2.06,IN,1703899684
233,tsiombe,-25.3,45.4833,23.24,84,86,6.57,MG,1703899684
234,visby,57.6409,18.296,5.12,87,100,6.17,SE,1703899685
235,bilibino,68.0546,166.4372,-41.99,99,52,0.97,RU,1703899686
236,san fernando de apure,7.8878,-67.4724,28.91,57,98,1.08,VE,1703899686
237,luwuk,-0.9516,122.7875,29.98,69,91,1.12,ID,1703899551
238,sos'va,59.1766,61.8558,-11.08,84,100,6.26,RU,1703899687
239,vakfikebir,41.0458,39.2764,8.93,53,9,2.12,TR,1703899688
240,general conesa,-40.1,-64.4333,20.31,31,1,6.28,AR,1703899689
241,mossel bay,-34.1831,22.146,18.96,94,100,1.72,ZA,1703899689
242,pontalina,-17.525,-49.4472,22.28,88,88,1.45,BR,1703899690
243,kiunga,-6.1219,141.2906,31.37,65,100,0.74,PG,1703899690
244,veinticinco de mayo,-35.4323,-60.1727,15.55,66,0,0.89,AR,1703899691
245,miri,4.4148,114.0089,25.08,94,40,3.09,MY,1703899692
246,saldanha,-33.0117,17.9442,16.99,97,100,4.29,ZA,1703899693
247,queenstown,-31.8976,26.8753,17.6,84,100,0.76,ZA,1703899693
248,safaga,26.7292,33.9365,19.05,59,0,5.53,EG,1703899694
249,tangalle,6.024,80.7911,25.09,88,92,6.14,LK,1703899694
250,nesterov,54.6306,22.5714,5.17,90,99,6.34,RU,1703899695
251,sandnessjoen,66.0217,12.6316,-6.71,71,100,8.72,NO,1703899695
252,bumba,2.1833,22.4667,22.09,57,92,0.61,CD,1703899696
253,alice springs,-23.7,133.8833,34.75,18,5,8.23,AU,1703899697
254,belaya kholunitsa,58.84,50.8528,-26.55,100,98,1.01,RU,1703899697
255,iskateley,67.6803,53.1512,-16.1,97,100,4.02,RU,1703899698
256,labytnangi,66.6572,66.4183,-14.22,80,99,11.8,RU,1703899698
257,belomorsk,64.5232,34.7668,-16.11,99,96,1.49,RU,1703899698
258,mount pearl,47.5166,-52.7813,-1.14,96,100,9.26,CA,1703899699
259,bonthe,7.5264,-12.505,24.8,85,0,1.01,SL,1703899699
260,erenhot,43.6475,111.9767,-10.69,95,100,3.93,CN,1703899700
261,kifri,34.6959,44.9661,13.23,47,0,1.89,IQ,1703899701
262,upington,-28.4478,21.2561,19.21,88,11,0.51,ZA,1703899701
263,tazovsky,67.4667,78.7,-13.63,92,100,8.7,RU,1703899702
264,zalingei,12.9096,23.4741,17.35,24,0,1.48,SD,1703899702
265,hampton bays,40.869,-72.5176,8.99,94,40,4.47,US,1703899703
266,bloemhof,-27.6469,25.607,18.22,71,100,6.26,ZA,1703899704
267,boende,-0.2167,20.8667,23.43,74,99,1.43,CD,1703899704
268,ambovombe,-25.1667,46.0833,23.17,88,92,7.98,MG,1703899705
269,susuman,62.7833,148.1667,-41.12,100,99,0.45,RU,1703899705
270,saida,34.8303,0.1517,6.88,38,100,0.91,DZ,1703899706
271,igarka,67.4667,86.5833,-12.52,94,100,5.44,RU,1703899706
272,eastham,41.8301,-69.9739,7.82,88,100,1.54,US,1703899707
273,fatehpur,25.9333,80.8,10.48,54,75,0.6,IN,1703899707
274,caconda,-13.7333,15.0667,14.44,94,11,1.82,AO,1703899708
275,mogadishu,2.0371,45.3438,26.44,81,100,8.5,SO,1703899708
276,uyuni,-20.4597,-66.825,13.02,58,100,7.84,BO,1703899709
277,'ain el turk,35.7438,-0.7693,11.38,82,75,4.12,DZ,1703899709
278,port lincoln,-34.7333,135.8667,17.98,59,17,6.42,AU,1703899710
279,cidreira,-30.1811,-50.2056,20.72,85,15,4.1,BR,1703899710
280,kyakhta,50.3508,106.4494,-19.24,100,78,1.31,RU,1703899711
281,saint-francois,46.4154,3.9054,6.47,99,75,1.54,FR,1703899711
282,mejit,10.2753,170.8646,27.08,84,100,8.77,MH,1703899712
283,wotje,9.4543,170.2367,27.64,82,100,8.21,MH,1703899712
284,san patricio,28.017,-97.5169,14.19,49,0,2.71,US,1703899713
285,puerto aysen,-45.4,-72.7,13.39,81,0,1.91,CL,1703899713
286,nachingwea,-10.3833,38.7667,22.89,97,79,2.08,TZ,1703899714
287,atafu village,-8.5421,-172.5159,29.42,68,100,7.68,TK,1703899714
288,ostroda,53.6967,19.9649,6.76,88,100,6.44,PL,1703899715
289,estherville,43.4016,-94.8328,2.04,84,0,5.14,US,1703899626
290,dire dawa,9.5931,41.8661,20.52,64,100,1.02,ET,1703899716
291,yigo village,13.5361,144.8886,30.62,67,0,9.26,GU,1703899717
